code,name,description,language,category,category-name,category-description
application/vnd.ims.imsccv1p2,,,en,application,,
application/vnd.ims.imsccv1p3,,,en,application,,
application/vnd.ims.lis.v2.result+json,,,en,application,,
application/vnd.ims.lti.v2.toolconsumerprofile+json,,,en,application,,
application/vnd.ims.lti.v2.toolproxy.id+json,,,en,application,,
application/vnd.ims.lti.v2.toolproxy+json,,,en,application,,
application/vnd.ims.lti.v2.toolsettings+json,,,en,application,,
application/vnd.ims.lti.v2.toolsettings.simple+json,,,en,application,,
application/vnd.informedcontrol.rms+xml,,,en,application,,
application/vnd.infotech.project,,,en,application,,
application/vnd.infotech.project+xml,,,en,application,,
application/vnd.informix-visionary,,,en,application,,
application/vnd.innopath.wamp.notification,,,en,application,,
application/vnd.insors.igm,,,en,application,,
application/vnd.intercon.formnet,,,en,application,,
application/vnd.intergeo,,,en,application,,
application/vnd.intertrust.digibox,,,en,application,,
application/vnd.intertrust.nncp,,,en,application,,
application/vnd.intu.qbo,,,en,application,,
application/vnd.intu.qfx,,,en,application,,
application/vnd.iptc.g2.catalogitem+xml,,,en,application,,
application/vnd.iptc.g2.conceptitem+xml,,,en,application,,
application/vnd.iptc.g2.knowledgeitem+xml,,,en,application,,
application/vnd.iptc.g2.newsitem+xml,,,en,application,,
application/vnd.iptc.g2.newsmessage+xml,,,en,application,,
application/vnd.iptc.g2.packageitem+xml,,,en,application,,
application/vnd.iptc.g2.planningitem+xml,,,en,application,,
application/vnd.ipunplugged.rcprofile,,,en,application,,
application/vnd.irepository.package+xml,,,en,application,,
application/vnd.is-xpr,,,en,application,,
application/vnd.isac.fcs,,,en,application,,
application/vnd.jam,,,en,application,,
application/vnd.japannet-directory-service,,,en,application,,
application/vnd.japannet-jpnstore-wakeup,,,en,application,,
application/vnd.japannet-payment-wakeup,,,en,application,,
application/vnd.japannet-registration,,,en,application,,
application/vnd.japannet-registration-wakeup,,,en,application,,
application/vnd.japannet-setstore-wakeup,,,en,application,,
application/vnd.japannet-verification,,,en,application,,
application/vnd.japannet-verification-wakeup,,,en,application,,
application/vnd.jcp.javame.midlet-rms,,,en,application,,
application/vnd.jisp,,,en,application,,
application/vnd.joost.joda-archive,,,en,application,,
