code,name,description,language,category,category-name,category-description
DLTA,delta,a flat plain formed by alluvial deposits at the mouth of a stream,en,T,Hypsographic,
PCLD,dependent political entity,dependent political entity,en,A,Administrative Region,
DPR,depression(s),a low area surrounded by higher land and usually characterized by interior drainage,en,T,Hypsographic,
DSRT,desert,a large area with little or no vegetation due to extreme environmental conditions,en,T,Hypsographic,
PPLW,destroyed populated place,"a village, town or city destroyed by a natural disaster, or by war",en,P,Populated Place,
MNDT,diatomite mine(s),a place where diatomaceous earth is extracted,en,S,Spot Features,
DIKE,dike,an earth or stone embankment usually constructed for flood or stream control,en,S,Spot Features,
DIP,diplomatic facility,"office, residence, or facility of a foreign government, which may include an embassy, consulate, chancery, office of charge d’affaires, or other diplomatic, economic, military, or cultural mission",en,S,Spot Features,
HSPD,dispensary,a building where medical or dental aid is dispensed,en,S,Spot Features,
STMD,distributary(-ies),"a branch which flows away from the main stream, as in a delta or irrigation canal",en,H,Hydrographic,
DTCH,ditch,a small artificial watercourse dug for draining or irrigating the land,en,H,Hydrographic,
DTCHM,ditch mouth(s),"an area where a drainage ditch enters a lagoon, lake or bay",en,H,Hydrographic,
DVD,divide,a line separating adjacent drainage basins,en,T,Hypsographic,
DCK,dock(s),"a waterway between two piers, or cut into the land for the berthing of ships",en,H,Hydrographic,
DCKB,docking basin,a part of a harbor where ships dock,en,H,Hydrographic,
DCKY,dockyard,"a facility for servicing, building, or repairing ships",en,S,Spot Features,
BSND,drainage basin,an area drained by a stream,en,L,Area,
CNLD,drainage canal,an artificial waterway carrying water away from a wetland or from drainage ditches,en,H,Hydrographic,
DTCHD,drainage ditch,a ditch which serves to drain the land,en,H,Hydrographic,
DCKD,dry dock,"a dock providing support for a vessel, and means for removing the water so that the bottom of the vessel can be exposed",en,S,Spot Features,
SBED,dry stream bed,a channel formerly containing the water of a stream,en,T,Hypsographic,
DUNE,dune(s),"a wave form, ridge or star shape feature composed of sand",en,T,Hypsographic,
RGNE,economic region,a region of a country established for economic development or for statistical purposes,en,L,Area,
SCRP,escarpment,a long line of cliffs or steep slopes separating level surfaces above and below,en,T,Hypsographic,
EST,estate(s),a large commercialized agricultural landholding with associated buildings and other facilities,en,S,Spot Features,
ESTY,estuary,a funnel-shaped stream mouth or embayment where fresh water mixes with sea water under tidal influences,en,H,Hydrographic,
STNE,experiment station,a facility for carrying out experiments,en,S,Spot Features,
FCL,facility,"a building or buildings housing a center, institute, foundation, hospital, prison, mission, courthouse, etc.",en,S,Spot Features,
CTRF,facility center,a place where more than one facility is situated,en,S,Spot Features,
MFG,factory,"one or more buildings where goods are manufactured, processed or fabricated",en,S,Spot Features,
FAN,fan(s),a fan-shaped wedge of coarse alluvium with apex merging with a mountain stream bed and the fan spreading out at a low angle slope onto an adjacent plain,en,T,Hypsographic,
FRM,farm,a tract of land with associated buildings devoted to agriculture,en,S,Spot Features,
PPLF,farm village,a populated place where the population is largely engaged in agricultural activities,en,P,Populated Place,
FRMS,farms,tracts of land with associated buildings devoted to agriculture,en,S,Spot Features,
FRMT,farmstead,the buildings and adjacent service areas of a farm,en,S,Spot Features,
FY,ferry,a boat or other floating conveyance and terminal facilities regularly used to transport people and vehicles across a waterbody,en,S,Spot Features,
FYT,ferry terminal,"a place where ferries pick-up and discharge passengers, vehicles and or cargo",en,S,Spot Features,
FLD,field(s),an open as opposed to wooded area,en,L,Area,
FIRE,fire station,building housing firefighters and/or fire fighting equipment,en,S,Spot Features,
ADM1,first-order administrative division,"a primary administrative division of a country, such as a state in the United States",en,A,Administrative Region,
FISH,fishing area,"a fishing ground, bank or area where fishermen go to catch fish",en,H,Hydrographic,
PNDSF,fishponds,ponds or enclosures in which fish are kept or raised,en,H,Hydrographic,
FSR,fissure,a crack associated with volcanism,en,T,Hypsographic,
FJD,fjord,"a long, narrow, steep-walled, deep-water arm of the sea at high latitudes, usually along mountainous coasts",en,H,Hydrographic,
FJDS,fjords,"long, narrow, steep-walled, deep-water arms of the sea at high latitudes, usually along mountainous coasts",en,H,Hydrographic,
FORD,ford,a shallow part of a stream which can be crossed on foot or by land vehicle,en,T,Hypsographic,
